Designator,Mid X,Mid Y,Rotation,Layer
J2_2,5.485,-4.0,90.0,top
J2,52.485,-4.0,90.0,top
J3_2,50.5,-17.5,270.0,top
J3,3.5,-17.5,270.0,top
RPD1_1_2,16.9,-10.3,90.0,top
RPD1_1,63.9,-10.3,90.0,top
RPD1_2_2,63.9,-17.3,90.0,top
RPD1_2,16.9,-17.3,90.0,top
RPD1_3_2,63.5,-24.6,90.0,top
RPD1_3,16.5,-24.6,90.0,top
RPD1_4_2,16.5,-31.0,90.0,top
RPD1_4,63.5,-31.0,90.0,top
RPD1_5_2,20.65,-10.4,90.0,top
RPD1_5,67.65,-10.4,90.0,top
RPD1_6_2,20.4,-17.4,90.0,top
RPD1_6,67.4,-17.4,90.0,top
RPD1_7_2,20.4,-24.6,90.0,top
RPD1_7,67.4,-24.6,90.0,top
RPD1_8_2,20.1,-31.0,90.0,top
RPD1_8,67.1,-31.0,90.0,top
SW1_2,27.91,-5.5,90.0,top
SW1,74.91,-5.5,90.0,top
SW2_2,74.91,-15.5,90.0,top
SW2,27.91,-15.5,90.0,top
SW3_2,74.955,-25.75,90.0,top
SW3,27.955,-25.75,90.0,top
SW4_2,74.91,-36.0,90.0,top
SW4,27.91,-36.0,90.0,top
SW5_2,85.955,-5.7,270.0,top
SW5,38.955,-5.7,270.0,top
SW6_2,38.955,-15.75,270.0,top
SW6,85.955,-15.75,270.0,top
SW7_2,38.955,-25.7,270.0,top
SW7,85.955,-25.7,270.0,top
SW8_2,85.955,-36.0,270.0,top
SW8,38.955,-36.0,270.0,top
U6_2,7.0,-31.0,90.0,top
U6,54.0,-31.0,90.0,top
