Designator,Mid X,Mid Y,Rotation,Layer
J1_6,3.0,-87.445,0.0,top
J1_5,3.0,-55.445,0.0,top
J1_4,3.0,-23.445,0.0,top
J1_3,3.0,-71.445,0.0,top
J1_2,3.0,-39.445,0.0,top
J1,3.0,-7.445,0.0,top
J2_6,68.0,-39.445,0.0,top
J2_5,68.0,-55.445,0.0,top
J2_4,68.0,-71.445,0.0,top
J2_3,68.0,-7.445,0.0,top
J2_2,68.0,-23.445,0.0,top
J2,68.0,-87.445,0.0,top
J3_6,17.0,-87.445,0.0,top
J3_5,17.0,-39.445,0.0,top
J3_4,17.0,-55.445,0.0,top
J3_3,17.0,-7.445,0.0,top
J3_2,17.0,-23.445,0.0,top
J3,17.0,-71.445,0.0,top
J4_6,82.0,-39.445,0.0,top
J4_5,82.0,-55.445,0.0,top
J4_4,82.0,-71.445,0.0,top
J4_3,82.0,-23.445,0.0,top
J4_2,82.0,-87.445,0.0,top
J4,82.0,-7.445,0.0,top
LED1_6,10.0,-57.0,0.0,bottom
LED1_5,10.0,-89.0,0.0,bottom
LED1_4,10.0,-9.0,0.0,bottom
LED1_3,10.0,-41.0,0.0,bottom
LED1_2,10.0,-25.0,0.0,bottom
LED1,10.0,-73.0,0.0,bottom
LED2_6,75.0,-25.0,0.0,bottom
LED2_5,75.0,-41.0,0.0,bottom
LED2_4,75.0,-73.0,0.0,bottom
LED2_3,75.0,-89.0,0.0,bottom
LED2_2,75.0,-9.0,0.0,bottom
LED2,75.0,-57.0,0.0,bottom
