Designator,Mid X,Mid Y,Rotation,Layer
Extras1,101.3,-38.9,0.0,top
I2cScreen1,101.2,-75.02,0.0,top
J1,38.4,-37.5,90.0,top
J2,36.7,-49.645,0.0,top
J3,117.7,-38.1,90.0,top
J4,117.8,-56.0,90.0,top
LED1,117.5,-88.4,0.0,top
LED2,117.3,-79.3,0.0,top
LED3,117.3,-68.5,0.0,top
R1,100.7,-88.3,90.0,top
R2,96.7,-88.3,90.0,top
RPD1_1,58.945,-63.3,0.0,top
RPD1_10,58.9,-50.95,0.0,top
RPD1_11,58.9,-53.9,0.0,top
RPD1_2,58.945,-67.35,0.0,top
RPD1_3,58.945,-71.4,0.0,top
RPD1_4,58.945,-75.45,0.0,top
RPD1_5,58.945,-79.5,0.0,top
RPD1_6,58.945,-83.55,0.0,top
RPD1_7,58.945,-87.6,0.0,top
RPD1_8,58.945,-91.65,0.0,top
RPD1_9,58.9,-48.0,0.0,top
RPD_Main_1,58.9,-56.85,0.0,top
R_En_1,105.1,-88.3,90.0,top
RotaryEnc1,101.3,-58.755,0.0,top
SW1,37.0,-60.8,90.0,top
SW2,37.055,-70.45,90.0,top
SW3,36.755,-80.25,90.0,top
SW4,36.8,-89.9,90.0,top
SW5,48.655,-61.45,270.0,top
SW6,48.645,-70.75,270.0,top
SW7,48.5,-80.4,270.0,top
SW8,48.6,-89.8,270.0,top
U1,78.2,-67.2,0.0,top
U2,48.9,-37.5,90.0,top
U3,109.9,-88.6,180.0,top
U4,110.0,-79.4,180.0,top
U5,110.4,-68.5,180.0,top
U6,49.4,-50.7,0.0,top
