Designator,Mid X,Mid Y,Rotation,Layer
U1_16,72.1408,-84.2141,0.0,top
U1_15,28.0088,-35.5101,0.0,top
U1_14,5.9428,-11.1581,0.0,top
U1_13,28.0088,-11.1581,0.0,top
U1_12,5.9428,-35.5101,0.0,top
U1_11,72.1408,-59.8621,0.0,top
U1_10,5.9428,-59.8621,0.0,top
U1_9,28.0088,-84.2141,0.0,top
U1_8,5.9428,-84.2141,0.0,top
U1_7,50.0748,-84.2141,0.0,top
U1_6,72.1408,-11.1581,0.0,top
U1_5,50.0748,-11.1581,0.0,top
U1_4,50.0748,-35.5101,0.0,top
U1_3,50.0748,-59.8621,0.0,top
U1_2,28.0088,-59.8621,0.0,top
U1,72.1408,-35.5101,0.0,top
U2_16,15.494,-54.8,0.0,top
U2_15,37.56,-30.448,0.0,top
U2_14,81.692,-79.152,0.0,top
U2_13,37.56,-6.096,0.0,top
U2_12,59.626,-30.448,0.0,top
U2_11,81.692,-30.448,0.0,top
U2_10,15.494,-6.096,0.0,top
U2_9,37.56,-54.8,0.0,top
U2_8,59.626,-6.096,0.0,top
U2_7,59.626,-54.8,0.0,top
U2_6,81.692,-6.096,0.0,top
U2_5,15.494,-79.152,0.0,top
U2_4,59.626,-79.152,0.0,top
U2_3,37.56,-79.152,0.0,top
U2_2,15.494,-30.448,0.0,top
U2,81.692,-54.8,0.0,top
U3_16,59.626,-91.852,0.0,top
U3_15,59.626,-18.796,0.0,top
U3_14,81.692,-18.796,0.0,top
U3_13,81.692,-43.148,0.0,top
U3_12,59.626,-43.148,0.0,top
U3_11,15.494,-91.852,0.0,top
U3_10,59.626,-67.5,0.0,top
U3_9,15.494,-43.148,0.0,top
U3_8,15.494,-67.5,0.0,top
U3_7,37.56,-67.5,0.0,top
U3_6,81.692,-91.852,0.0,top
U3_5,37.56,-18.796,0.0,top
U3_4,37.56,-91.852,0.0,top
U3_3,81.692,-67.5,0.0,top
U3_2,37.56,-43.148,0.0,top
U3,15.494,-18.796,0.0,top
